City,Country,Latitude,Longitude,Humidity,Wind Speed,Cloudiness,Temperature,Date
Pinega,RU,64.7001,43.3936,44,8.57,100,71.65,1655303927
Saldanha,ZA,-33.0117,17.9442,54,3.94,3,62.65,1655303927
Jamestown,US,42.097,-79.2353,83,5.99,36,80.19,1655303665
Garoowe,SO,8.4054,48.4845,26,20.87,14,91.09,1655303929
Juneau,US,58.3019,-134.4197,93,0.0,75,47.21,1655303716
Hay River,CA,60.8156,-115.7999,59,5.75,75,60.78,1655303931
Cockburn Town,TC,21.4612,-71.1419,76,15.97,2,81.28,1655303931
Ushuaia,AR,-54.8,-68.3,75,5.75,75,40.66,1655303932
Guerrero Negro,MX,27.9769,-114.0611,74,8.88,0,65.39,1655303933
Puerto Escondido,MX,15.85,-97.0667,69,8.05,100,77.83,1655303934
Grand Gaube,MU,-20.0064,57.6608,72,4.0,10,71.38,1655303935
Cidreira,BR,-30.1811,-50.2056,68,1.54,12,63.95,1655303935
Danville,US,36.586,-79.395,69,0.0,100,84.87,1655303839
Batemans Bay,AU,-35.7167,150.1833,65,5.3,48,51.1,1655303937
Harrisburg,US,40.2737,-76.8844,57,5.01,0,83.1,1655303900
Borogontsy,RU,62.6683,131.1683,94,4.05,100,52.75,1655303939
Yellowknife,CA,62.456,-114.3525,55,3.44,75,64.92,1655303641
Kudahuvadhoo,MV,2.6708,72.8944,70,10.09,89,84.27,1655303941
Dunedin,NZ,-45.8742,170.5036,69,1.99,27,44.8,1655303941
Pachperwa,IN,27.5167,82.65,19,6.6,5,101.91,1655303942
Port Hardy,CA,50.6996,-127.4199,87,2.3,75,50.18,1655303943
Kruisfontein,ZA,-34.0033,24.7314,65,18.25,61,47.88,1655303944
Tambaú,BR,-21.705,-47.2744,34,3.42,73,65.07,1655303945
Atuona,PF,-9.8,-139.0333,68,20.71,86,78.01,1655303946
Pevek,RU,69.7008,170.3133,80,5.41,4,29.95,1655303947
Mehamn,NO,71.0357,27.8492,92,11.81,100,44.51,1655303947
Coyhaique,CL,-45.5752,-72.0662,87,6.91,40,39.15,1655303822
Arraial do Cabo,BR,-22.9661,-42.0278,46,4.61,20,73.26,1655303949
Punta Arenas,CL,-53.15,-70.9167,75,19.57,40,42.91,1655303812
Fukuechō,JP,32.6881,128.8419,89,12.28,100,71.51,1655303950
Puerto Madero,MX,14.7208,-92.4215,100,3.44,100,77.2,1655303951
Rikitea,PF,-23.1203,-134.9692,70,7.54,91,72.59,1655303952
Ukiah,US,39.1502,-123.2078,76,0.0,0,69.04,1655303953
Esperance,AU,-33.8667,121.9,59,10.22,1,56.19,1655303953
Ilulissat,GL,69.2167,-51.1,75,9.22,20,35.62,1655303954
Sisimiut,GL,66.9395,-53.6735,56,10.51,13,39.16,1655303955
Saint Paul Harbor,US,57.79,-152.4072,87,8.05,100,51.31,1655303956
Lata,PT,40.1629,-8.3327,44,9.4,89,79.07,1655303956
Sorong,ID,-0.8833,131.25,81,5.86,100,80.4,1655303957
Hilo,US,19.7297,-155.09,60,4.61,40,72.28,1655303914
Bredasdorp,ZA,-34.5322,20.0403,63,4.97,11,53.58,1655303753
Hermanus,ZA,-34.4187,19.2345,59,2.1,15,57.79,1655303959
Waingapu,ID,-9.6567,120.2641,86,9.42,15,77.67,1655303960
Qaqortoq,GL,60.7167,-46.0333,69,11.07,7,42.69,1655303961
George Town,MY,5.4112,100.3354,86,6.91,40,82.33,1655303149
Ariquemes,BR,-9.9133,-63.0408,53,2.06,33,85.33,1655303963
Ribeira Grande,PT,38.5167,-28.7,78,6.91,40,70.2,1655303963
Homer,US,59.6425,-151.5483,91,1.99,0,47.8,1655303964
Port Alfred,ZA,-33.5906,26.891,75,8.01,85,51.19,1655303965
Hope,US,33.6671,-93.5916,70,9.55,18,82.98,1655303966
Mahon,ES,39.8885,4.2658,35,9.22,0,88.36,1655303967
New Norfolk,AU,-42.7826,147.0587,89,1.81,100,45.91,1655303968
Barrow,US,71.2906,-156.7887,93,9.22,100,33.82,1655303968
Nālūt,LY,30.3333,10.85,12,11.83,0,93.76,1655303969
Marsh Harbour,BS,26.5412,-77.0636,71,3.94,100,81.14,1655303729
Cabo San Lucas,MX,22.8909,-109.9124,52,1.01,2,85.05,1655303819
Puerto Ayora,EC,-0.7393,-90.3518,92,5.99,93,75.16,1655303971
Clyde River,CA,70.4692,-68.5914,100,4.61,100,37.63,1655303972
Kapaa,US,22.0752,-159.319,97,9.22,100,75.18,1655303973
Ulaangom,MN,49.9811,92.0667,62,8.5,77,65.21,1655303974
Saquarema,BR,-22.92,-42.5103,57,7.49,41,73.44,1655303975
Tasiilaq,GL,65.6145,-37.6368,98,9.51,100,41.16,1655303976
Ostrovnoy,RU,68.0531,39.5131,60,15.01,100,55.83,1655303976
Cape Town,ZA,-33.9258,18.4232,61,5.75,40,60.12,1655303883
Saint-Philippe,RE,-21.3585,55.7679,86,14.67,37,72.99,1655303978
Provideniya,RU,64.3833,-173.3,94,6.29,89,36.34,1655303979
Chokurdakh,RU,70.6333,147.9167,36,8.21,100,60.04,1655303980
Natá,PA,8.3333,-80.5167,77,7.9,99,76.87,1655303980
Aras,ES,42.5617,-2.356,12,4.61,0,100.81,1655303981
Cherskiy,RU,68.75,161.3,47,6.58,0,51.03,1655303982
Naze,JP,28.3667,129.4833,97,6.73,100,74.32,1655303983
Kavieng,PG,-2.5744,150.7967,78,10.13,85,81.72,1655303984
Benghazi,LY,32.1167,20.0667,64,15.99,0,78.57,1655303984
Anjozorobe,MG,-18.4,47.8667,93,4.32,26,57.45,1655303985
Taiping,MY,4.85,100.7333,89,3.91,100,77.22,1655303986
Kahului,US,20.8947,-156.47,78,12.66,20,75.85,1655303987
São Lourenço do Sul,BR,-31.3653,-51.9783,60,1.74,0,62.4,1655303987
East London,ZA,-33.0153,27.9116,47,27.63,0,58.14,1655303988
Nuevo Progreso,MX,23.1667,-97.95,70,7.83,100,82.11,1655303989
Mahébourg,MU,-20.4081,57.7,94,13.8,75,71.26,1655303990
Mataura,NZ,-46.1927,168.8643,92,7.23,87,44.47,1655303991
Hobart,AU,-42.8794,147.3294,95,4.61,100,46.26,1655303991
Luqiao,CN,28.5808,121.3772,97,3.83,100,70.83,1655303992
Salalah,OM,17.0151,54.0924,77,8.1,44,83.21,1655303993
Mar del Plata,AR,-38.0023,-57.5575,70,4.61,87,55.94,1655303994
Aykhal,RU,66.0,111.5,69,4.79,40,59.27,1655303995
San Patricio,US,28.017,-97.5169,53,18.07,100,85.89,1655303996
Kieta,PG,-6.2167,155.6333,83,3.18,79,77.67,1655303996
Jutaí,BR,-5.1833,-68.9,59,0.56,75,84.24,1655303997
Tuatapere,NZ,-46.1333,167.6833,89,8.3,71,44.51,1655303998
Norman Wells,CA,65.282,-126.8329,93,8.05,100,46.44,1655303856
Mandalgovi,MN,45.7625,106.2708,45,13.22,100,70.43,1655303999
Boryslav,UA,49.2867,23.4324,56,5.99,94,63.3,1655304000
Palu,ID,-0.8917,119.8707,95,3.11,91,75.52,1655304001
Haines Junction,CA,60.7522,-137.5108,76,2.3,99,46.35,1655304002
Severo-Kuril'sk,RU,50.6789,156.125,89,7.27,98,47.07,1655304003
Arman',RU,59.7,150.1667,94,1.92,100,46.02,1655304004
Vaini,TO,-21.2,-175.2,88,5.75,75,71.76,1655304004
Turaif,SA,31.6725,38.6637,22,6.91,0,93.45,1655304006
Nadym,RU,65.5333,72.5167,56,16.28,100,58.86,1655304007
Channel-Port aux Basques,CA,47.5702,-59.1367,68,4.99,23,54.97,1655304008
Busselton,AU,-33.65,115.3333,83,10.47,49,60.78,1655304008
Falmouth,GB,50.1544,-5.0711,55,13.8,75,66.78,1655304009
Beloha,MG,-25.1667,45.05,60,5.48,70,73.6,1655304010
Chui,UY,-33.6971,-53.4616,60,4.59,56,61.47,1655304011
Zyryanka,RU,65.75,150.85,60,6.49,100,56.97,1655304012
Ulladulla,AU,-35.35,150.4667,57,6.91,32,54.27,1655304013
Longyearbyen,SJ,78.2186,15.6401,75,13.8,75,40.84,1655304014
San Jerónimo,PE,-11.9472,-75.2829,52,2.13,2,53.64,1655304014
Raja,SS,8.4596,25.678,48,11.97,73,87.53,1655304015
Dakar,SN,14.6937,-17.4441,62,2.3,0,86.88,1655303765
Bambous Virieux,MU,-20.3428,57.7575,94,13.8,75,71.22,1655304016
Tikhvin,RU,59.6451,33.5294,84,5.57,95,57.22,1655304017
Bluff,NZ,-46.6,168.3333,82,26.11,100,44.8,1655304018
Thompson,CA,55.7435,-97.8558,100,9.22,100,60.96,1655304019
Constitución,CL,-35.3333,-72.4167,76,2.82,3,54.99,1655303747
Amurzet,RU,47.6967,131.0981,84,3.58,32,56.75,1655304021
Port Moresby,PG,-9.4431,147.1797,94,2.3,20,76.42,1655304022
Clayton,US,33.5335,-84.3666,68,9.22,20,90.54,1655303733
Klaksvík,FO,62.2266,-6.589,96,12.1,100,52.72,1655304023
Muisne,EC,0.6,-80.0333,83,11.25,100,76.95,1655304024
Río Gallegos,AR,-51.6226,-69.2181,80,3.44,75,33.85,1655304025
Kiryat Gat,IL,31.61,34.7642,1,14.14,0,85.41,1655304025
Meadow Lake,US,34.8014,-106.5436,23,4.12,0,79.68,1655304026
Bethel,US,41.3712,-73.414,61,5.75,0,78.6,1655303872
Port Augusta,AU,-32.5,137.7667,88,4.0,1,52.43,1655303934
Srednekolymsk,RU,67.45,153.6833,43,9.51,28,56.1,1655304028
São João da Barra,BR,-21.6403,-41.0511,53,3.67,81,75.29,1655304029
Butaritari,KI,3.0707,172.7902,74,11.92,100,82.17,1655304030
Aklavik,CA,68.2191,-135.0107,52,6.6,28,50.56,1655304031
Funtua,NG,11.5233,7.3081,27,7.31,91,93.99,1655304032
Iqaluit,CA,63.7506,-68.5145,81,5.75,75,42.53,1655304033
Khatanga,RU,71.9667,102.5,36,11.97,37,61.21,1655304034
Tongliao,CN,43.6125,122.2653,80,11.05,96,64.06,1655304035
Yulara,AU,-25.2406,130.9889,48,7.38,75,59.83,1655304036
Touros,BR,-5.1989,-35.4608,52,15.32,3,84.47,1655304036
Cap Malheureux,MU,-19.9842,57.6142,72,3.0,8,71.47,1655304037
Karaj,IR,35.8355,51.0103,8,13.8,0,91.92,1655304038
Kushikino,JP,31.7167,130.2667,91,4.27,100,72.09,1655304039
Bemidji,US,47.4736,-94.8803,71,9.22,0,70.92,1655303947
Kaitangata,NZ,-46.2817,169.8464,85,11.7,51,44.38,1655304041
Tofield,CA,53.3668,-112.6686,95,25.84,100,54.37,1655304041
Faanui,PF,-16.4833,-151.75,76,20.24,24,79.93,1655304042
Meridian,US,43.6121,-116.3915,67,10.36,0,53.33,1655303750
Namtsy,RU,62.7161,129.6658,83,6.35,97,54.63,1655304043
São Filipe,CV,14.8961,-24.4956,82,9.13,34,73.9,1655304044
Qaanaaq,GL,77.484,-69.3632,60,1.63,22,30.13,1655304045
Mizque,BO,-17.941,-65.3402,25,3.65,0,71.22,1655304047
Evensk,RU,61.95,159.2333,88,6.93,100,41.56,1655304048
Mikhaylov,RU,54.2292,39.0186,71,10.47,100,64.02,1655304049
Hobyo,SO,5.3505,48.5268,79,27.29,98,80.17,1655304050
Wanning,CN,18.8003,110.3967,92,7.45,100,80.44,1655304051
Narsaq,GL,60.9167,-46.05,58,9.93,7,53.82,1655304052
Loralai,PK,30.3705,68.598,19,16.53,0,88.84,1655304053
Port Hawkesbury,CA,45.6169,-61.3485,70,11.01,0,63.81,1655304054
Avarua,CK,-21.2078,-159.775,83,5.75,70,75.25,1655304055
Broome,US,42.2506,-75.833,60,4.61,0,77.36,1655304056
Albany,US,42.6001,-73.9662,59,1.01,59,77.63,1655304056
Marivan,IR,35.5219,46.176,19,11.88,0,80.67,1655304057
Upernavik,GL,72.7868,-56.1549,69,8.46,76,30.15,1655304058
Ketchikan,US,55.3422,-131.6461,93,5.75,0,50.47,1655304059
Ambilobe,MG,-13.2,49.05,67,3.31,69,77.86,1655304060
Port Elizabeth,ZA,-33.918,25.5701,78,18.41,40,52.32,1655304060
Springdale,US,36.1867,-94.1288,74,16.11,0,82.53,1655304062
Huarmey,PE,-10.0681,-78.1522,70,8.03,40,65.3,1655304062
Libertador General San Martín,AR,-23.8064,-64.7876,29,3.49,0,71.15,1655304063
Termoli,IT,41.9888,14.9895,50,9.06,3,89.78,1655304064
Port-Gentil,GA,-0.7193,8.7815,69,16.11,20,82.36,1655304065
Mariental,NA,-24.6333,17.9667,25,7.02,0,60.46,1655304066
Vila Velha,BR,-20.3297,-40.2925,60,6.91,0,76.95,1655304067
Kargil,IN,34.5667,76.1,55,3.78,96,52.81,1655304068
Umba,RU,66.6871,34.3429,76,9.1,100,58.5,1655304070
Kimberley,ZA,-28.7323,24.7623,57,11.5,75,47.89,1655304071
Payo,ID,-3.7508,103.6372,97,2.48,100,73.45,1655304072
Castro,BR,-24.7911,-50.0119,74,1.34,100,56.98,1655303827
Edgewood,US,39.4187,-76.2944,67,3.44,0,85.33,1655304013
Leningradskiy,RU,69.3833,178.4167,87,14.03,100,33.67,1655304074
Dikson,RU,73.5069,80.5464,76,7.09,34,38.44,1655304075
Airai,TL,-8.9266,125.4092,78,3.29,44,57.29,1655304076
Talnakh,RU,69.4865,88.3972,47,10.65,89,70.21,1655304077
Bathsheba,BB,13.2167,-59.5167,74,23.02,40,86.61,1655304078
Barra Patuca,HN,15.8,-84.2833,80,10.58,91,81.43,1655304080
Wajid,SO,3.8093,43.2471,33,15.23,7,88.05,1655304080
Tuktoyaktuk,CA,69.4541,-133.0374,80,9.22,0,35.6,1655304081
Okhotsk,RU,59.3833,143.3,95,4.61,97,41.7,1655304082
Dārāb,IR,28.7519,54.5444,12,12.06,78,98.15,1655304083
Meulaboh,ID,4.1363,96.1285,89,6.08,100,75.4,1655304083
Alice Springs,AU,-23.7,133.8833,66,0.0,3,49.55,1655304084
Upata,VE,8.0086,-62.3989,70,4.5,42,77.2,1655304085
Senigallia,IT,43.7093,13.2167,54,8.05,20,86.09,1655304086
Tazovsky,RU,67.4667,78.7,86,7.96,100,56.1,1655304087
Geraldton,AU,-28.7667,114.6,88,6.91,89,57.61,1655304087
Pangnirtung,CA,66.1451,-65.7125,87,0.0,100,41.0,1655304089
Srīvardhan,IN,18.0333,73.0167,76,8.79,21,83.64,1655304089
Adrar,MR,20.5022,-10.0711,13,11.79,11,107.76,1655304090
Charters Towers,AU,-20.1,146.2667,95,6.76,0,61.18,1655304091
Yantal',RU,56.8471,105.2542,68,3.51,3,62.53,1655304092
Krasnoborsk,RU,61.5598,45.934,89,7.74,100,67.57,1655304093
Hasaki,JP,35.7333,140.8333,91,5.68,100,64.8,1655304093
Nikolskoye,RU,59.7035,30.7861,96,13.4,100,59.79,1655304095
Marzuq,YE,14.4,46.4667,18,6.67,82,89.47,1655304097
Cocobeach,GA,1.0002,9.5823,79,12.73,44,77.86,1655304097
Changying,CN,52.8733,123.3213,96,3.0,64,52.45,1655304099
Port Hedland,AU,-20.3167,118.5667,72,6.91,46,66.25,1655304100
Los Llanos de Aridane,ES,28.6585,-17.9182,76,12.66,40,73.15,1655304100
Miles City,US,46.4083,-105.8406,50,20.71,75,56.37,1655303975
Santa Cruz de la Sierra,BO,-17.8,-63.1667,49,18.41,0,72.86,1655304055
Upington,ZA,-28.4478,21.2561,41,4.61,40,55.78,1655304102
Tiksi,RU,71.6872,128.8694,79,13.89,100,36.43,1655304103
Bilma,NE,18.6853,12.9164,16,5.73,85,104.88,1655304104
Colesberg,ZA,-30.72,25.0972,42,17.11,70,43.7,1655304105
Alihe,CN,50.5667,123.7167,95,3.47,14,52.77,1655304106
Labuan,MY,5.2767,115.2417,94,0.0,40,79.16,1655304106
Lebu,CL,-37.6167,-73.65,86,4.38,37,51.6,1655304107
Port-Cartier,CA,50.0334,-66.8654,50,6.29,3,75.42,1655303954
Hong Kong,HK,22.2855,114.1577,94,8.01,100,77.95,1655303985
Guna,IN,24.65,77.3167,34,10.18,99,96.06,1655304110
Luanda,AO,-8.8368,13.2343,73,12.66,20,77.0,1655304110
Vila Franca do Campo,PT,37.7167,-25.4333,80,8.37,74,71.2,1655304111
Voyvozh,RU,62.892,54.9635,41,5.46,80,68.9,1655304112
Georgiyevka,KZ,43.0369,74.7114,47,13.42,75,77.04,1655304113
Vostok,RU,46.4856,135.8833,87,3.18,100,52.03,1655304114
Hithadhoo,MV,-0.6,73.0833,69,5.55,46,83.19,1655304115
Alofi,NU,-19.0595,-169.9187,100,5.75,81,73.29,1655304116
Aksu,CN,41.1231,80.2644,12,2.93,35,88.81,1655304117
Isangel,VU,-19.55,169.2667,85,12.93,74,75.83,1655304118
Rome,US,43.2128,-75.4557,61,3.2,51,79.72,1655303969
Wajir,KE,1.7471,40.0573,38,10.36,12,91.36,1655304119
Cariré,BR,-3.9506,-40.4733,51,3.09,14,85.64,1655304121
Grindavik,IS,63.8424,-22.4338,66,19.57,75,53.55,1655304121
Padang,ID,-0.9492,100.3543,86,4.09,100,73.45,1655304122
Antalaha,MG,-14.9003,50.2788,86,7.36,64,73.13,1655304123
Khorramshahr,IR,30.4397,48.1664,9,13.8,0,114.75,1655304124
Mount Gambier,AU,-37.8333,140.7667,94,14.97,100,53.51,1655304125
Abu Samrah,SY,35.3029,37.1841,30,13.87,1,88.05,1655304126
Saskylakh,RU,71.9167,114.0833,45,8.9,1,48.78,1655304127
Pitimbu,BR,-7.4706,-34.8086,71,9.15,28,82.99,1655304128
Carnarvon,AU,-24.8667,113.6333,94,1.79,100,68.67,1655304128
Torbay,CA,47.6666,-52.7314,56,13.8,75,54.37,1655304129
Ancud,CL,-41.8697,-73.8203,89,4.16,25,49.23,1655304130
Outjo,NA,-20.1167,16.15,13,8.95,0,75.52,1655304131
Krasnogvardeyskoye,RU,45.8456,41.5186,57,6.64,68,79.39,1655304132
North Bend,US,43.4065,-124.2243,87,3.44,75,52.86,1655304132
Alexandria,EG,31.2156,29.9553,57,12.66,0,82.94,1655304069
Lompoc,US,34.6391,-120.4579,86,15.01,0,69.93,1655304134
Nishihara,JP,26.1842,127.7558,100,9.22,100,75.25,1655304135
Japura,ID,-0.3167,102.35,95,0.98,87,74.34,1655304135
Villa de Reyes,MX,21.8,-100.9333,79,11.52,100,63.16,1655304136
Idenao,CM,4.2475,9.0047,81,2.55,69,81.34,1655304137
Port Lincoln,AU,-34.7333,135.8667,82,8.48,17,56.35,1655304138
Tacuarembó,UY,-31.7333,-55.9833,65,5.37,16,62.4,1655303847
Cayenne,GF,4.9333,-52.3333,33,11.5,75,87.84,1655304139
Bellmead,US,31.594,-97.1089,72,14.97,40,84.74,1655304140
Camacha,PT,33.0833,-16.3333,64,20.71,40,69.22,1655304141
Miracatu,BR,-24.2814,-47.4597,58,1.72,58,72.59,1655304141
Cascais,PT,38.6979,-9.4215,64,5.75,20,84.02,1655304144
Dingli,MT,35.8614,14.3822,39,5.75,0,84.36,1655304144
Lázaro Cárdenas,MX,17.9583,-102.2,74,4.34,100,81.57,1655303992
Wuda,CN,39.4994,106.7117,12,6.51,0,84.99,1655304146
Bandarbeyla,SO,9.4942,50.8122,77,30.8,48,78.3,1655304147
Savannah Bight,HN,16.45,-85.85,79,14.61,88,80.49,1655304147
Mugango,TZ,-1.6833,33.7,67,8.21,42,74.35,1655304148
Karasjok,NO,69.4719,25.5112,58,12.5,98,50.38,1655304149
Albania,AL,41.0,20.0,43,10.13,26,85.17,1655304150
Hofn,IS,64.2539,-15.2082,76,3.44,100,53.62,1655304150
Sémbé,CG,1.6481,14.5806,79,1.3,100,79.18,1655304151
Bubaque,GW,11.2833,-15.8333,80,11.92,85,80.82,1655304152
Vestmannaeyjar,IS,63.4427,-20.2734,71,12.66,75,54.59,1655304153
Santa Maria,BR,-29.6842,-53.8069,67,2.3,0,61.9,1655304155
Rosamorada,MX,22.1222,-105.2058,59,2.62,31,84.81,1655304155
Hazorasp,UZ,41.3194,61.0742,15,14.2,0,94.84,1655304156
Tarauacá,BR,-8.1614,-70.7656,58,1.07,46,80.6,1655304157
Tura,IN,25.5198,90.2201,98,4.74,100,72.66,1655304158
Nouadhibou,MR,20.931,-17.0347,65,18.41,8,76.98,1655304158
Cham,CH,47.1821,8.4636,41,3.44,0,91.98,1655304159
Sungai Penuh,ID,-2.0833,101.3833,97,1.83,93,63.48,1655304160
Khovd,MN,48.0056,91.6419,27,1.3,20,74.89,1655304161
Lokosovo,RU,61.1333,74.8167,89,12.24,100,55.67,1655304162
Oranjestad,AW,12.524,-70.027,74,24.16,20,84.15,1655304162
Bengkulu,ID,-3.8004,102.2655,89,4.05,100,76.24,1655304163
Chiang Khong,TH,20.2613,100.4046,99,0.4,100,72.5,1655304164
Novaya Igirma,RU,57.1334,103.9112,61,3.87,54,66.51,1655304165
Kununurra,AU,-15.7667,128.7333,77,0.0,11,57.18,1655304166
Rawson,AR,-43.3002,-65.1023,61,2.28,8,48.65,1655304167
Ponta Delgada,PT,37.7333,-25.6667,88,16.11,75,71.51,1655304168
Châteaudun,FR,48.0833,1.3333,38,6.04,5,94.95,1655304169
Kyabé,TD,9.4515,18.9449,34,2.08,100,93.76,1655304170
Erenhot,CN,43.6475,111.9767,25,5.55,36,75.43,1655304171
Port Macquarie,AU,-31.4333,152.9167,75,5.3,0,49.89,1655304171
Hot Springs,US,34.5037,-93.0552,75,9.22,20,82.62,1655303970
Lüderitz,NA,-26.6481,15.1594,36,14.36,20,68.99,1655304173
Ponta do Sol,PT,32.6667,-17.1,65,13.96,22,75.13,1655304173
Khāsh,IR,28.2211,61.2158,10,4.25,96,97.29,1655304174
Nagato,JP,34.3833,131.2,90,7.4,100,67.64,1655304175
Saint Anthony,US,45.0205,-93.218,63,11.5,75,71.55,1655304176
Boa Vista,BR,2.8197,-60.6733,83,3.44,75,78.78,1655303945
Merauke,ID,-8.4667,140.3333,89,12.48,98,78.1,1655304177
Fortuna,US,40.5982,-124.1573,92,1.01,100,54.93,1655304178
Egvekinot,RU,66.3167,-179.1667,91,3.96,99,29.44,1655304179
Mandera,KE,3.9366,41.867,31,15.48,2,92.07,1655304180
Fort Nelson,CA,58.8053,-122.7002,66,2.3,40,53.19,1655304181
Jalu,LY,29.0331,21.5482,21,6.85,0,93.83,1655304181
Tilichiki,RU,60.4667,166.1,87,4.94,22,43.05,1655304182
Biu,NG,10.6129,12.1946,58,5.1,74,79.63,1655304183
Hualmay,PE,-11.0964,-77.6139,70,7.9,48,64.08,1655304184
Gewanē,ET,10.1664,40.6453,9,15.84,6,103.57,1655304185
Krasnosel'kup,RU,65.7,82.4667,59,5.1,98,70.27,1655304186
Saint George,US,37.1041,-113.5841,19,1.99,0,73.44,1655303980
Frontera,MX,26.9333,-101.45,50,4.61,40,82.33,1655304187
Troitskoye,RU,52.9821,84.6757,72,3.06,67,63.88,1655304188
Ozernovskiy,RU,51.5,156.5167,80,1.61,37,46.63,1655304189
Luganville,VU,-15.5333,167.1667,87,7.27,34,77.31,1655304190
Arroyo de la Encomienda,ES,41.6096,-4.7969,21,5.75,40,99.14,1655304191
Puerto Madryn,AR,-42.7692,-65.0385,65,1.16,52,49.53,1655304183
Itarema,BR,-2.9248,-39.9167,56,12.95,10,84.24,1655304192
Wanaka,NZ,-44.7,169.15,91,5.53,79,39.02,1655304193
Kirovskiy,RU,45.0917,133.5136,91,4.16,100,55.17,1655304194
West Bay,KY,19.3667,-81.4167,66,10.36,20,87.87,1655304195
Souillac,MU,-20.5167,57.5167,94,13.8,75,70.18,1655304197
Uvinza,TZ,-5.1036,30.3911,54,5.99,88,79.0,1655304197
Saint-Pierre,RE,-21.3393,55.4781,73,3.44,20,73.9,1655304198
Shiringushi,RU,53.8485,42.7676,66,7.02,78,66.13,1655304199
Pecos,US,31.4229,-103.4932,39,10.36,0,83.3,1655304173
Foz,ES,43.5692,-7.2544,61,5.82,63,78.98,1655304200
Oyama,JP,36.3,139.8,83,1.25,100,68.59,1655304202
Berlevåg,NO,70.8578,29.0864,87,6.91,75,44.55,1655304204
Sioux Lookout,CA,50.1001,-91.917,77,6.91,75,66.27,1655304204
Auki,SB,-8.7676,160.7034,86,3.76,100,78.1,1655304206
Kilrush,IE,52.6397,-9.4833,65,11.59,66,65.95,1655304207
Dingle,PH,10.9995,122.6711,83,2.91,18,79.56,1655304208
Wattegama,LK,6.7989,81.4808,88,4.27,100,76.91,1655304208
Jackson,US,42.4165,-122.8345,74,0.0,0,55.04,1655304111
Vardø,NO,70.3705,31.1107,87,12.66,75,44.58,1655304210
Scarborough,GB,54.2797,-0.4044,73,4.0,100,67.78,1655304121
Maragogi,BR,-9.0122,-35.2225,74,7.18,20,79.99,1655304212
Boyuibe,BO,-20.4167,-63.2833,26,4.47,0,71.19,1655304212
Yar-Sale,RU,66.8333,70.8333,44,5.53,85,64.35,1655304213
Vengerovo,RU,55.6848,76.7471,92,7.29,98,55.58,1655304214
Harboøre,DK,56.6175,8.1807,82,13.38,100,64.18,1655304215
Coffs Harbour,AU,-30.3,153.1333,93,5.75,0,53.13,1655304118
Tual,ID,-5.6667,132.75,87,3.89,100,77.83,1655304217
Dvinskoy,RU,62.1535,45.1175,88,9.13,100,67.62,1655304217
Te Anau,NZ,-45.4167,167.7167,93,6.13,100,44.44,1655304218
Russell,US,32.3502,-85.1999,69,5.75,0,83.8,1655304219
Maracaçumé,BR,-2.0428,-45.9592,45,6.87,89,89.06,1655304220
Bereda,ES,43.2686,-7.5406,30,6.17,77,91.38,1655304221
Itaberá,BR,-23.8619,-49.1372,60,6.04,90,65.77,1655304222
Forbes,AU,-33.3833,148.0167,77,8.25,11,43.52,1655304222
Levice,SK,48.2156,18.6071,44,4.21,50,81.5,1655304223
Fethiye,TR,36.6217,29.1164,58,3.33,31,80.47,1655304224
Westport,US,41.1415,-73.3579,65,10.36,0,79.86,1655304022
